data;consumo_energia_eletrica_GWh
fev/20;40.697
mar/20;40.946
abr/20;37.116
mai/20;36.051
jun/20;35.63
jul/20;37.715
ago/20;39.122
set/20;40.227
out/20;42.426
nov/20;40.986
dez/20;41.884
jan/21;42.531
fev/21;41.254
mar/21;43.416
abr/21;42.432
mai/21;40.351
jun/21;40.179
jul/21;39.941
ago/21;40.629
set/21;41.985
out/21;42.622
nov/21;41.932
dez/21;42.937
jan/22;42.566
fev/22;41.929
mar/22;44.218
abr/22;43.123
